Contract,Contract Title,Reference Nr,Order Nr,Item Nr,Order Date,Transaction Date,Title,SKUs,Partner SKUs,Transaction Type,Currency,Net Proceeds,Referral Fee including VAT,Fullfilment & Logistics Fees including VAT,Shipping Credits including VAT,Other Order Fees including VAT,Order Subsidies including VAT,Non-Order Fees including VAT,Non-Order Subsidies including VAT,Others including VAT,Total
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50073612281,NEGI50073612281-2,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order_update,EGP,0,0,-22.8,0,0,0,0,0,0,-22.8
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50074667819,NEGI50074667819-3,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 50 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,Z5F2B544680432C0C555CZ-1,CHAR-50-BUNDLE,order,EGP,115,-17.04,-22.8,0,0,0,0,0,0,75.16
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50074899957,NEGI50074899957-1,5/15/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50079132178,NEGI50079132178-2,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50079968556,NEGI50079968556-2,5/16/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50081105187,NEGI50081105187-2,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50084198042,NEGI50084198042-2,5/15/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 30 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,ZF4C5346D6D2232315242Z-1,CHAR-30-BUNDLE,order,EGP,85,-12.6,-22.8,0,0,0,0,0,0,49.6
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50084758949,NEGI50084758949-1,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order_update,EGP,0,0,-23.37,0,0,0,0,0,0,-23.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50086155626,NEGI50086155626-4,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50086958965,NEGI50086958965-2,5/10/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order_update,EGP,0,0,-23.37,0,0,0,0,0,0,-23.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50087520290,NEGI50087520290-6,5/14/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50090164381,NEGI50090164381-7,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50092216297,NEGI50092216297-1,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 10 tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets From Al-shola,Z25DB4A4EB8C14E142F16Z-1,CHAR-10-BUNDLE,order,EGP,49,-7.26,-23.37,0,0,0,0,0,0,18.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50092216297,NEGI50092216297-2,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 10 tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets From Al-shola,Z25DB4A4EB8C14E142F16Z-1,CHAR-10-BUNDLE,order,EGP,49,-7.26,-23.37,0,0,0,0,0,0,18.37
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50092870603,NEGI50092870603-2,5/17/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50094098834,NEGI50094098834-4,5/13/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 100 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from AlShola,Z1D201356C48A54CE18A6Z-1,CHAR-100-BOX,order,EGP,175,-25.94,-23.37,0,0,0,0,0,0,125.69
CONTRACT_NR_REMOVED,Noon EG,PS-452348-EG20260520,NEGI50094890209,NEGI50094890209-3,5/12/2026,5/20/2026,Fast-Lighting Charcoal for Incense | 50 Tablets | Easy & Instant Ignition | 45-Mins Burn | Spark-Free | 33mm Tablets from Al-Shola,Z5F2B544680432C0C555CZ-1,CHAR-50-BUNDLE,order,EGP,115,-17.04,-22.8,0,0,0,0,0,0,75.16
